//コマンド,パラメータ1,パラメータ2,パラメータ3
POP,20,0,-1
POP,20,0,-3
POP,20,0,-5
POP,20,0,-7
POP,20,0,-9
POP,20,0,-11
POP,20,0,-13
POP,20,0,-15
POP,20,0,-17
POP,20,0,-19
POP,20,0,-21
POP,20,0,-23
POP,20,0,-25
POP,20,0,-27
POP,20,0,-29
POP,20,0,-31
POP,20,0,-33
POP,20,0,-35
POP,20,0,-37
POP,20,0,-39
POP,20,0,-41
POP,20,0,-43
POP,20,0,-45
POP,20,0,-47
POP,20,0,-49
POP,20,0,1
POP,20,0,3
POP,20,0,5
POP,20,0,7
POP,20,0,9
POP,20,0,11
POP,20,0,13
POP,20,0,15
POP,20,0,17
POP,20,0,19
POP,20,0,21
POP,20,0,23
POP,20,0,25
POP,20,0,27
POP,20,0,29
POP,20,0,31
POP,20,0,33
POP,20,0,35
POP,20,0,37
POP,20,0,39
POP,20,0,41
POP,20,0,43
POP,20,0,45
POP,20,0,47
POP,20,0,49
POP,-20,0,-1
POP,-20,0,-3
POP,-20,0,-5
POP,-20,0,-7
POP,-20,0,-9
POP,-20,0,-11
POP,-20,0,-13
POP,-20,0,-15
POP,-20,0,-17
POP,-20,0,-19
POP,-20,0,-21
POP,-20,0,-23
POP,-20,0,-25
POP,-20,0,-27
POP,-20,0,-29
POP,-20,0,-31
POP,-20,0,-33
POP,-20,0,-35
POP,-20,0,-37
POP,-20,0,-39
POP,-20,0,-41
POP,-20,0,-43
POP,-20,0,-45
POP,-20,0,-47
POP,-20,0,-49
POP,-20,0,1
POP,-20,0,3
POP,-20,0,5
POP,-20,0,7
POP,-20,0,9
POP,-20,0,11
POP,-20,0,13
POP,-20,0,15
POP,-20,0,17
POP,-20,0,19
POP,-20,0,21
POP,-20,0,23
POP,-20,0,25
POP,-20,0,27
POP,-20,0,29
POP,-20,0,31
POP,-20,0,33
POP,-20,0,35
POP,-20,0,37
POP,-20,0,39
POP,-20,0,41
POP,-20,0,43
POP,-20,0,45
POP,-20,0,47
POP,-20,0,49
POP,18,0,-19
POP,16,0,-19
POP,14,0,-19
POP,-18,0,-19
POP,-16,0,-19
POP,-14,0,-19
POP,-12,0,-19
POP,-10,0,-19
POP,-8,0,-19
POP,-6,0,-19
POP,-4,0,-19
POP,-2,0,-19
POP,0,0,-19
POP,2,0,-19
POP,4,0,-19
POP,6,0,-19
POP,18,0,-21
POP,16,0,-21
POP,14,0,-21
POP,-18,0,-21
POP,-16,0,-21
POP,-14,0,-21
POP,-12,0,-21
POP,-10,0,-21
POP,-8,0,-21
POP,-6,0,-21
POP,-4,0,-21
POP,-2,0,-21
POP,0,0,-21
POP,2,0,-21
POP,4,0,-21
POP,6,0,-21
POP,18,0,-17
POP,16,0,-17
POP,14,0,-17
POP,-18,0,-17
POP,-16,0,-17
POP,-14,0,-17
POP,-12,0,-17
POP,-10,0,-17
POP,-8,0,-17
POP,-6,0,-17
POP,-4,0,-17
POP,-2,0,-17
POP,0,0,-17
POP,2,0,-17
POP,4,0,-17
POP,6,0,-17
POP,-14,0,-4
POP,-12,0,-4
POP,-10,0,-4
POP,-8,0,-4
POP,-6,0,-4
POP,-4,0,-4
POP,-2,0,-4
POP,0,0,-4
POP,2,0,-4
POP,4,0,-4
POP,6,0,-4
POP,8,0,-4
POP,10,0,-4
POP,12,0,-4
POP,-14,0,-2
POP,-12,0,-2
POP,-10,0,-2
POP,-8,0,-2
POP,-6,0,-2
POP,-4,0,-2
POP,-2,0,-2
POP,0,0,-2
POP,2,0,-2
POP,4,0,-2
POP,6,0,-2
POP,8,0,-2
POP,10,0,-2
POP,12,0,-2
POP,-14,0,0
POP,-12,0,0
POP,-10,0,0
POP,-8,0,0
POP,-6,0,0
POP,-4,0,0
POP,-2,0,0
POP,0,0,0
POP,2,0,0
POP,4,0,0
POP,6,0,0
POP,8,0,0
POP,10,0,0
POP,12,0,0
POP,-14,0,2
POP,-12,0,2
POP,-10,0,2
POP,-8,0,2
POP,-6,0,2
POP,-4,0,2
POP,-2,0,2
POP,0,0,2
POP,2,0,2
POP,4,0,2
POP,6,0,2
POP,8,0,2
POP,10,0,2
POP,12,0,2
POP,-14,0,4
POP,-12,0,4
POP,-10,0,4
POP,-8,0,4
POP,-6,0,4
POP,-4,0,4
POP,-2,0,4
POP,0,0,4
POP,2,0,4
POP,4,0,4
POP,6,0,4
POP,8,0,4
POP,10,0,4
POP,12,0,4
POP,-12,0,22
POP,-10,0,22
POP,-8,0,22
POP,-6,0,22
POP,-4,0,22
POP,-2,0,22
POP,0,0,22
POP,2,0,22
POP,4,0,22
POP,6,0,22
POP,8,0,22
POP,10,0,22
POP,12,0,22
POP,-12,0,24
POP,-10,0,24
POP,-8,0,24
POP,-6,0,24
POP,-4,0,24
POP,-2,0,24
POP,0,0,24
POP,2,0,24
POP,4,0,24
POP,6,0,24
POP,8,0,24
POP,10,0,24
